City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Current Temp
Nelson Bay,90,AU,1574541248,93,-32.72,152.14,66.99,5.88,64.78
Careiro da Varzea,75,BR,1574541248,70,-3.2,-59.81,87.8,2.24,87.8
Asosa,100,ET,1574541248,74,10.07,34.53,69.19,3.31,69.19
Velka Bites,90,CZ,1574541248,80,49.29,16.23,46.0,20.8,42.6
Mataura,5,NZ,1574541248,66,-46.19,168.86,62.01,15.99,62.01
Rikitea,43,PF,1574540976,67,-23.12,-134.97,72.07,11.27,72.07
Hobart,75,AU,1574541223,53,-42.88,147.33,53.01,5.82,52.12
Ushuaia,99,AR,1574541164,24,-54.81,-68.31,68.0,34.45,68.0
Humaita,75,AR,1574541249,39,-24.93,-65.37,86.0,16.11,83.66
Lakatoro,100,VU,1574541250,73,-16.11,167.42,77.0,9.17,77.0
Upernavik,100,GL,1574541066,61,72.79,-56.15,25.39,17.31,25.39
Carnarvon,0,ZA,1574541250,24,-30.97,22.13,61.97,17.78,61.97
Castro,75,CL,1574541059,72,-42.48,-73.76,59.0,16.11,59.0
Timbuktu,0,ML,1574541250,17,16.77,-3.01,79.79,10.31,79.79
Jamestown,0,AU,1574541251,61,-33.21,138.6,55.15,8.1,55.15
Tura,100,RU,1574541251,98,64.27,100.22,-15.95,1.72,-15.95
Tuktoyaktuk,75,CA,1574541092,84,69.44,-133.03,6.8,4.83,6.8
Shar,84,NG,1574541251,65,7.3,8.73,82.36,5.79,82.36
Qaanaaq,100,GL,1574541252,64,77.48,-69.36,7.95,8.72,7.95
Sao Filipe,66,CV,1574541252,79,14.9,-24.5,72.61,16.44,72.61
Lebu,75,ET,1574541191,82,8.96,38.73,59.0,4.7,59.0
Norman Wells,75,CA,1574541252,92,65.28,-126.83,10.4,1.97,10.4
Vaini,5,IN,1574541252,69,15.34,74.49,64.29,7.45,64.29
Busselton,74,AU,1574540973,62,-33.64,115.35,53.01,8.57,49.68
Albany,75,US,1574541225,42,42.65,-73.75,44.6,5.82,38.77
Barrow,74,AR,1574541105,19,-38.31,-60.23,76.68,13.69,76.68
East London,40,ZA,1574541253,94,-33.02,27.91,68.0,4.7,68.0
Ballina,75,IE,1574541253,93,54.11,-9.15,45.0,3.36,43.11
Saquarema,69,BR,1574541254,69,-22.93,-42.51,82.4,18.34,81.32
