City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Current Temp
Hithadhoo,39,MV,1574544810,79,-0.6,73.08,82.18,10.83,82.18
Hasaki,75,JP,1574544526,100,35.73,140.83,66.2,9.17,61.61
Thompson,90,CA,1574544530,85,55.74,-97.86,24.8,6.93,24.8
Kloulklubed,90,PW,1574544630,88,7.04,134.26,77.0,4.7,77.0
Albany,40,US,1574544559,48,42.65,-73.75,41.0,3.78,36.39
Yellowknife,90,CA,1574544530,92,62.45,-114.38,23.0,12.75,23.0
Te Anau,3,NZ,1574544811,77,-45.41,167.72,51.76,11.36,51.76
Ushuaia,99,AR,1574544525,24,-54.81,-68.31,66.2,26.4,66.2
Zalantun,100,CN,1574544812,64,48.0,122.72,3.34,9.26,3.34
Chokurdakh,96,RU,1574544515,98,70.62,147.9,-23.55,9.1,-23.55
Vao,58,EE,1574544812,51,59.1,26.19,24.71,6.11,24.71
Upata,96,VE,1574544812,86,8.02,-62.41,79.0,3.13,79.0
Bila Tserkva,84,UA,1574544813,46,49.8,30.11,22.66,10.2,22.66
Luebo,100,CD,1574544813,99,-5.35,21.42,66.94,1.59,66.94
Mataura,5,NZ,1574544511,54,-46.19,168.86,64.67,15.61,64.67
Scottsbluff,1,US,1574544619,28,41.87,-103.67,57.2,16.11,53.92
Souillac,100,FR,1574544814,87,45.6,-0.6,48.99,5.82,47.34
Saint-Pierre,100,FR,1574544626,93,48.95,4.24,42.8,5.82,40.86
Puerto Ayora,15,EC,1574544814,60,-0.74,-90.35,75.2,21.92,73.09
Port Hardy,90,CA,1574544520,100,50.7,-127.42,46.4,10.29,46.4
Umm Kaddadah,5,SD,1574544553,20,13.6,26.69,75.11,12.17,75.11
Avarua,100,CK,1574544815,94,-21.21,-159.78,77.0,8.05,77.0
Pangoa,96,PE,1574544815,93,-12.12,-73.0,77.4,0.49,77.4
Rikitea,43,PF,1574544815,67,-23.12,-134.97,72.07,11.27,72.07
Cayenne,18,GF,1574544621,74,4.94,-52.33,84.2,6.93,84.2
Seydi,13,NE,1574544816,15,13.34,7.75,83.53,6.42,83.53
Hilo,90,US,1574544816,83,19.71,-155.08,75.99,10.29,73.53
Baghdad,96,IQ,1574544816,61,33.3,44.38,50.0,2.24,50.0
Omboue,100,GA,1574544816,96,-1.57,9.26,75.51,3.56,75.51
Hindaun,70,IN,1574544817,49,26.73,77.03,68.18,3.31,68.18
Sistranda,20,NO,1574544817,86,63.73,8.83,43.0,12.75,41.32
Ntchisi,68,MW,1574544817,62,-13.36,33.92,72.61,0.45,72.61
Andra,53,RU,1574544817,93,62.52,65.89,8.56,5.61,8.56
Boende,100,CD,1574544817,96,-0.28,20.88,67.89,3.24,67.89
Saint-Philippe,1,CA,1574544818,64,45.36,-73.48,37.4,9.17,34.43
Tiksi,98,RU,1574544818,91,71.64,128.87,-23.04,5.93,-23.04
Arraial do Cabo,75,BR,1574544818,88,-22.97,-42.02,80.6,20.8,78.75
Norman Wells,75,CA,1574544594,85,65.28,-126.83,10.4,1.97,10.4
Lorengau,34,PG,1574544819,76,-2.02,147.27,83.25,11.39,83.25
Belyy Yar,100,RU,1574544819,84,53.6,91.39,8.6,4.47,8.6
Mahebourg,75,MU,1574544819,88,-20.41,57.7,78.01,5.82,77.59
Mar del Plata,100,AR,1574544548,46,-46.43,-67.52,65.44,7.0,65.44
Sandomierz,90,PL,1574544820,75,50.68,21.75,34.0,17.22,32.47
Port Lincoln,0,AU,1574544820,70,-34.72,135.86,55.78,3.78,55.78
Tuatapere,0,NZ,1574544620,55,-46.13,167.69,57.99,6.6,57.99
Butaritari,8,KI,1574544526,67,3.07,172.79,83.84,7.27,83.84
Saldanha,7,PT,1574544821,90,41.42,-6.55,41.72,9.42,41.72
Leningradskiy,97,RU,1574544611,96,69.38,178.42,-4.95,19.51,-4.95
Lugazi,90,UG,1574544821,94,0.37,32.94,68.0,10.29,68.0
Cape Town,2,ZA,1574544601,87,-33.93,18.42,63.0,8.05,59.97
Sohag,0,EG,1574544822,49,26.55,31.7,68.0,11.41,68.0
Amnat Charoen,13,TH,1574544822,72,15.86,104.63,66.99,7.2,66.99
Grand Gaube,75,MU,1574544606,88,-20.01,57.66,78.01,5.82,77.49
Anupgarh,46,IN,1574544823,43,29.19,73.21,67.14,7.36,67.14
Victoria,75,BN,1574544610,88,5.28,115.24,77.0,1.77,77.0
Dahra,40,DZ,1574544824,76,36.25,0.85,53.6,9.17,53.6
Launceston,100,AU,1574544824,76,-41.43,147.14,55.0,14.99,53.02
Walvis Bay,0,NA,1574544824,86,-22.95,14.51,61.0,5.01,61.0
Tuktoyaktuk,90,CA,1574544824,92,69.44,-133.03,6.8,3.36,6.8
Tadine,94,NC,1574544825,59,-21.55,167.88,73.63,13.31,73.63
Honiara,20,SB,1574544825,74,-9.43,159.96,82.4,2.24,82.4
Longyearbyen,40,NO,1574544563,72,78.22,15.63,17.6,10.29,17.6
Port Elizabeth,1,US,1574544825,56,39.31,-74.98,44.01,4.7,42.46
Bredasdorp,0,ZA,1574544826,72,-34.53,20.04,62.6,6.93,61.09
Punta Arenas,100,CL,1574544826,62,-53.16,-70.91,53.6,14.99,53.28
Raudeberg,93,NO,1574544826,81,61.99,5.14,42.8,6.93,42.26
Hobart,75,AU,1574544641,43,-42.88,147.33,57.0,17.22,55.49
Atuona,18,PF,1574544827,75,-9.8,-139.03,79.84,15.39,79.84
Jamestown,0,AU,1574544827,61,-33.21,138.6,55.15,8.1,55.15
Beringovskiy,0,RU,1574544613,83,63.05,179.32,7.41,15.55,7.41
Barrow,74,AR,1574544828,19,-38.31,-60.23,76.68,13.69,76.68
Huanren,100,CN,1574544828,96,41.26,125.37,30.36,8.08,30.36
Khatanga,93,RU,1574544828,100,71.98,102.47,-19.19,2.24,-19.19
Cherskiy,79,RU,1574544828,96,68.75,161.3,-25.98,5.91,-25.98
High Rock,75,BS,1574544828,65,26.63,-78.28,78.8,8.05,78.8
Qaanaaq,100,GL,1574544829,64,77.48,-69.36,7.95,8.72,7.95
Luderitz,0,NA,1574544539,77,-26.65,15.16,60.67,25.03,60.67
Maunabo,1,PR,1574544829,65,18.01,-65.9,82.4,10.29,80.15
Prabumulih,95,ID,1574544829,95,-3.5,104.19,74.5,1.52,74.5
Karpathos,7,GR,1574544830,62,35.51,27.21,65.61,4.09,65.61
Christchurch,96,NZ,1574544600,82,-43.53,172.64,73.99,8.05,69.04
Ziarat,100,PK,1574544730,75,30.38,67.73,36.21,0.76,36.21
Samos,75,TR,1574544830,93,37.76,26.97,54.0,4.68,52.93
Lompoc,1,US,1574544831,35,34.64,-120.46,75.2,12.75,72.5
Berlevag,68,NO,1574544831,74,70.86,29.09,38.07,16.96,38.07
Tasiilaq,0,GL,1574544831,73,65.61,-37.64,21.2,4.7,21.2
Ponta do Sol,77,BR,1574544832,79,-20.63,-46.0,73.78,5.3,73.78
Birjand,100,IR,1574544832,49,32.86,59.22,35.6,4.7,35.6
Pangnirtung,90,CA,1574544832,74,66.15,-65.72,30.2,13.87,30.2
Torbay,75,CA,1574544832,93,47.66,-52.73,39.99,13.87,39.02
Bilibino,14,RU,1574544538,100,68.06,166.44,-32.13,1.92,-32.13
Yulara,78,AU,1574544833,15,-25.24,130.99,71.6,8.05,71.6
Chuy,2,UY,1574544833,63,-33.69,-53.46,64.35,12.86,64.35
Salalah,0,OM,1574544591,29,17.01,54.1,78.8,12.75,78.8
Cabedelo,20,BR,1574544641,74,-6.97,-34.84,80.6,9.17,80.6
Nikki,0,BJ,1574544834,37,9.94,3.21,81.9,5.12,81.9
Togur,100,RU,1574544834,93,58.36,82.83,4.93,9.44,4.93
Gamba,7,CN,1574544835,52,28.28,88.52,25.74,2.15,25.74
Kahului,40,US,1574544592,74,20.89,-156.47,78.8,17.22,76.17
Kapaa,90,US,1574544512,78,22.08,-159.32,80.6,20.8,78.82
Pemba,67,MZ,1574544835,85,-12.97,40.52,81.46,12.19,81.46
Sandakan,75,MY,1574544836,94,5.84,118.12,77.0,4.7,77.0
Seybaplaya,20,MX,1574544836,69,19.65,-90.67,82.4,11.41,82.4
Mineiros,47,BR,1574544836,75,-17.57,-52.55,76.82,5.46,76.82
Kazuno,100,JP,1574544837,98,40.2,140.83,46.65,6.62,46.65
Atbasar,85,KZ,1574544837,96,51.81,68.36,4.35,7.4,4.35
Lavrentiya,99,RU,1574544601,82,65.58,-170.99,12.34,14.56,12.34
Turkan,100,AF,1574544837,75,35.6,68.92,27.1,6.44,27.1
Ndjole,1,GA,1574544837,92,-0.18,10.76,73.87,2.42,73.87
Maltahohe,40,NA,1574544838,10,-24.83,16.98,67.77,13.09,67.77
Khandbari,99,NP,1574544838,85,27.38,87.21,43.0,1.45,43.0
Port Alfred,52,ZA,1574544838,88,-33.59,26.89,64.99,3.0,64.99
Dingle,3,PH,1574544604,91,11.0,122.67,74.48,8.03,74.48
Upernavik,100,GL,1574544839,61,72.79,-56.15,25.39,17.31,25.39
Beidao,100,CN,1574544840,75,34.57,105.89,31.91,7.02,31.91
Daru,88,PG,1574544840,81,-9.07,143.21,75.74,4.05,75.74
Provideniya,54,RU,1574544540,85,64.42,-173.23,1.89,6.49,1.89
Nuqui,20,CO,1574544840,70,5.71,-77.27,86.0,8.05,86.0
Makat,0,KZ,1574544840,69,47.65,53.35,19.15,3.94,19.15
Aykhal,90,RU,1574544841,67,65.95,111.51,-22.0,2.17,-22.0
Mount Isa,0,AU,1574544620,24,-20.73,139.49,84.2,8.05,84.2
Alyangula,74,AU,1574544841,94,-13.85,136.42,77.0,3.36,77.0
Kruisfontein,11,ZA,1574544841,87,-34.0,24.73,57.63,6.49,57.63
Kayerkan,40,RU,1574544842,75,69.35,87.76,-13.0,6.71,-13.0
Buenos Aires,0,AR,1574544842,56,-34.61,-58.44,73.0,20.8,70.27
Sri Aman,65,MY,1574544842,100,1.24,111.46,73.4,0.65,73.17
Vaini,5,IN,1574544512,69,15.34,74.49,64.29,7.45,64.29
Georgetown,40,GY,1574544843,79,6.8,-58.16,84.2,11.41,83.25
Hermanus,2,ZA,1574544511,89,-34.42,19.24,61.0,1.01,60.46
Bathsheba,40,BB,1574544843,74,13.22,-59.52,82.4,11.41,82.4
Xapuri,90,BR,1574544843,88,-10.65,-68.5,75.2,3.36,75.2
Lima,40,PE,1574544565,73,-12.06,-77.04,71.6,19.46,71.6
Kodinsk,100,RU,1574544557,92,58.6,99.18,7.68,12.24,7.68
Vila Velha,40,BR,1574544844,74,-3.71,-38.6,86.0,10.29,83.14
Dikson,91,RU,1574544845,99,73.51,80.55,-4.49,4.36,-4.49
Busselton,74,AU,1574544620,63,-33.64,115.35,55.0,8.57,49.55
Kaitangata,43,NZ,1574544845,81,-46.28,169.85,55.22,27.58,55.22
Hovd,100,NO,1574544846,91,63.83,10.7,43.0,13.87,35.92
Carnarvon,0,ZA,1574544846,24,-30.97,22.13,61.97,17.78,61.97
Nushki,67,PK,1574544846,57,29.55,66.02,49.69,1.95,49.69
Imperial,33,CA,1574544846,66,51.35,-105.44,41.76,15.48,41.76
Nikolskoye,100,RU,1574544612,85,59.7,30.79,19.0,4.47,16.99
Makakilo City,40,US,1574544847,62,21.35,-158.09,84.2,12.75,80.31
Phichit,65,TH,1574544847,85,16.44,100.37,69.1,0.96,69.1
New Norfolk,75,AU,1574544512,43,-42.78,147.06,57.0,17.22,55.72
Am Timan,22,TD,1574544605,20,11.04,20.28,74.52,4.14,74.52
Rancho Palos Verdes,5,US,1574544596,30,33.75,-118.37,75.99,6.93,71.62
Faanui,62,PF,1574544596,77,-16.48,-151.75,81.32,15.59,81.32
Araouane,0,ML,1574544848,11,18.9,-3.53,73.69,6.24,73.69
Rocha,0,UY,1574544848,67,-34.48,-54.34,61.18,12.57,61.18
Hobyo,38,SO,1574544849,78,5.35,48.53,80.08,16.73,80.08
Salamiyah,84,SY,1574544849,40,35.01,37.05,52.29,2.66,52.29
LaPlace,40,US,1574544641,60,30.07,-90.48,69.8,13.87,65.82
Richards Bay,100,ZA,1574544850,96,-28.77,32.06,74.28,8.05,74.28
Tiznit,100,MA,1574544771,93,29.7,-9.73,54.82,7.07,54.82
